,0
Start,2020-01-02 00:00:00
End,2021-07-29 00:00:00
Duration,574 days 00:00:00
Exposure Time [%],75.06297229219143
Equity Final [$],1786.8741124202727
Equity Peak [$],1867.274075799179
Return [%],78.68741124202727
Buy & Hold Return [%],93.96037480279406
Return (Ann.) [%],44.5504133610116
Volatility (Ann.) [%],41.35691716534038
Sharpe Ratio,1.077217945982385
Sortino Ratio,2.523762359356107
Calmar Ratio,2.3559977136140846
Max. Drawdown [%],-18.909361882474652
Avg. Drawdown [%],-4.933269387437171
Max. Drawdown Duration,198 days 00:00:00
Avg. Drawdown Duration,32 days 00:00:00
# Trades,12
Win Rate [%],75.0
Best Trade [%],21.95090423525412
Worst Trade [%],-9.856597591545269
Avg. Trade [%],5.012069096092686
Max. Trade Duration,71 days 00:00:00
Avg. Trade Duration,36 days 00:00:00
Profit Factor,5.715867641089941
Expectancy [%],5.318646714751002
SQN,2.120960603344433
_strategy,YourStrategy
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2020-01-02  1000.000000     0.000000              NaT
2020-01-03  1000.000000     0.000000              NaT
2020-01-06  1000.000000     0.000000              NaT
2020-01-07  1000.000000     0.000000              NaT
2020-01-08  1000.000000     0.000000              NaT
...                 ...          ...              ...
2021-07-23  1786.874112     0.043057              NaT
2021-07-26  1786.874112     0.043057              NaT
2021-07-27  1786.874112     0.043057              NaT
2021-07-28  1786.874112     0.043057              NaT
2021-07-29  1786.874112     0.043057          15 days

[397 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  \
0     12        24       31   81.704945   79.750000  -23.459343  -0.023927   
1     15        58       99   64.929820   79.182503  213.790239   0.219509   
2     14       108      122   83.777655   88.407501   64.817853   0.055264   
3     13       129      146   95.814444  106.260002  135.792254   0.109019   
4     13       146      170  106.785989  120.879997  183.222105   0.131984   
5     13       187      214  114.654742  119.029999   56.878340   0.038160   
6     13       214      231  119.619197  122.720001   40.310451   0.025922   
7     13       231      253  123.327465  129.410004   79.073000   0.049320   
8     12       265      301  137.547502  123.989998 -162.690045  -0.098566   
9     12       301      351  124.603748  126.900002   27.555038   0.018428   
10    12       351      358  127.528157  125.889999  -19.657886  -0.012845   
11    12       358      388  126.513155  142.449997  191.242105   0.125970   

    EntryTime   ExitTime Duration  
0  2020-02-06 2020-02-18  12 days  
1  2020-03-26 2020-05-26  61 days  
2  2020-06-08 2020-06-26  18 days  
3  2020-07-08 2020-07-31  23 days  
4  2020-07-31 2020-09-03  34 days  
5  2020-09-29 2020-11-05  37 days  
6  2020-11-05 2020-12-01  26 days  
7  2020-12-01 2021-01-04  34 days  
8  2021-01-21 2021-03-15  53 days  
9  2021-03-15 2021-05-25  71 days  
10 2021-05-25 2021-06-04  10 days  
11 2021-06-04 2021-07-19  45 days  "
