,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,12,24,31,81.70494522819519,79.75,-23.45934273834223,-0.02392688989308034,2020-02-06,2020-02-18,12 days
1,15,58,99,64.9298201133728,79.18250274658203,213.79023949813848,0.2195090423525412,2020-03-26,2020-05-26,61 days
2,14,108,122,83.77765460319519,88.40750122070312,64.81785264511112,0.05526350241525324,2020-06-08,2020-06-26,18 days
3,13,129,146,95.8144441482544,106.26000213623048,135.79225384368914,0.1090186148949901,2020-07-08,2020-07-31,23 days
4,13,146,170,106.78598914680482,120.87999725341795,183.2221053859707,0.13198368268366445,2020-07-31,2020-09-03,34 days
5,13,187,214,114.65474181976319,119.02999877929688,56.878340473937925,0.038160279200764036,2020-09-29,2020-11-05,37 days
6,13,214,231,119.6191972732544,122.72000122070312,40.31045131683342,0.02592229356267417,2020-11-05,2020-12-01,26 days
7,13,231,253,123.3274652267456,129.41000366210938,79.07299965972905,0.049320225824641906,2020-12-01,2021-01-04,34 days
8,12,265,301,137.54750159301759,123.98999786376952,-162.69004475097682,-0.09856597591545269,2021-01-21,2021-03-15,53 days
9,12,301,351,124.60374835319517,126.9000015258789,27.55503807220481,0.018428443791072002,2021-03-15,2021-05-25,71 days
10,12,351,358,127.52815653343201,125.88999938964844,-19.657885725402878,-0.01284545459068187,2021-05-25,2021-06-04,10 days
11,12,358,388,126.5131548866272,142.4499969482422,191.24210473937978,0.12596984144373402,2021-06-04,2021-07-19,45 days
